period,product_name,product_type,fund_name,fund_abn,fund_type,total_assets_aud_m,return_target_above_cpi_pct,risk_level_label,statement_fee_aud,property_benchmark_pct,infrastructure_benchmark_pct,commodities_benchmark_pct,other_investments_benchmark_pct
2020-06-30,AMG MySuper,Generic,AMG Super,30099320583,Retail,170.5,2.48,High,360.00,10.0,,,
2020-06-30,AFLPA & AFL Industry MySuper,Large employer,AMP Super Fund,78421957449,Retail,139.3,,,,,,,
2020-06-30,AMP MySuper No.3,Generic,AMP Super Fund,78421957449,Retail,15648.7,,,,,,,
2020-06-30,Brookfield Australia MySuper,Large employer,AMP Super Fund,78421957449,Retail,132.3,4.40,High,270.00,8.0,5.0,,9.0
2020-06-30,CCA MySuper,Large employer,AMP Super Fund,78421957449,Retail,358.4,,,,,,,
2020-06-30,Macquarie Group MySuper,Large employer,AMP Super Fund,78421957449,Retail,442.6,4.50,Medium to high,470.00,,,,12.5
2020-06-30,Water Corporation MySuper,Large employer,AMP Super Fund,78421957449,Retail,290.8,,,,,,,
2020-06-30,Woolworths Group MySuper,Large employer,AMP Super Fund,78421957449,Retail,2881.3,5.00,Medium to high,463.50,6.0,5.0,,6.0
2020-06-30,ANZ Staff MySuper,Generic,ANZ Australian Staff Superannuation Scheme,83810127567,Corporate,2019.2,2.10,Medium to high,325.00,9.5,6.0,,16.0
2020-06-30,Asgard Employee MySuper,Generic,ASGARD Independence Plan Division Two,90194410365,Retail,2487.0,,,,,,,
2020-06-30,BALANCED,Generic,Australia Post Superannuation Scheme,42045077895,Public Sector,892.3,3.00,High,608.00,,,,23.0
2020-06-30,LifetimeOne,Generic,Australian Catholic Superannuation and Retirement Fund,24680629023,Industry,4540.9,,,,,,,
2020-06-30,ADF MySuper,Generic,Australian Defence Force Superannuation Scheme,90302247344,Public Sector,433.6,3.50,Medium to high,574.00,8.0,4.0,,19.0
2020-06-30,Balanced (accumulation),Generic,Australian Ethical Retail Superannuation Fund,49633667743,Retail,1381.2,3.50,Medium to high,657.00,10.0,5.0,,
2020-06-30,AMIST MySuper,Generic,Australian Meat Industry Superannuation Trust,28342064803,Industry,1807.1,3.00,Medium to high,469.00,15.0,10.0,,10.0
2020-06-30,QSuper Lifetime,Generic,Australian Retirement Trust,60905115063,Public Sector,45113.0,,,,,,,
2020-06-30,AustralianSuper MySuper,Generic,AustralianSuper,65714394898,Industry,125702.0,3.84,High,437.00,7.0,13.0,,0.0
2020-06-30,AvSuper Growth (MySuper),Generic,AvSuper Fund,84421446069,Public Sector,677.0,3.50,Medium to high,560.00,10.0,8.0,,1.0
2020-06-30,MySuper Lifecycle,Generic,Aware Super,53226460365,Public Sector,52667.4,,,,,,,
2020-06-30,VicSuper Growth (MySuper),Material goodwill,Aware Super,53226460365,Public Sector,13759.1,,,,8.5,8.0,,5.0
2020-06-30,BOC MySuper,Generic,Boc Gases Superannuation Fund,49620344668,Corporate,407.5,2.60,High,644.00,11.0,7.4,,7.4
2020-06-30,BUSSQ MySuper,Generic,Building Unions Superannuation Scheme (Queensland),85571332201,Industry,3378.9,4.00,Medium to high,647.00,13.0,12.5,4.0,
2020-06-30,CareSuper,Generic,Care Super,98172275725,Industry,11569.6,5.70,Medium,583.00,12.0,8.0,,
2020-06-30,My Ethical Super,Generic,Christian Super,66628776348,Industry,953.2,2.60,High,700.00,10.1,8.0,,1.3
2020-06-30,Club Plus Super _ MySuper,Generic,Club Plus Superannuation Scheme,95275115088,Industry,2173.2,2.67,High,574.00,11.0,6.0,,16.0
2020-06-30,FirstChoice Employer Super,Generic,Colonial First State FirstChoice Superannuation Trust,26458298557,Retail,9195.7,,,,,,,
2020-06-30,Accumulate Plus Balanced,Generic,Commonwealth Bank Group Super,24248426878,Corporate,5851.6,2.00,Medium to high,413.00,8.1,7.2,,2.7
2020-06-30,Growth (Cbus MySuper),Generic,CONSTRUCTION AND BUILDING UNIONS SUPERANNUATION FUND,75493363262,Industry,44547.5,3.30,Medium to high,524.00,13.0,11.5,,4.5
2020-06-30,Balanced (MySuper),Generic,Energy Industries Superannuation Scheme-Pool A,22277243559,Public Sector,993.6,3.00,Medium to high,475.00,10.0,10.0,,10.0
2020-06-30,MySuper,Generic,Energy Super,33761363685,Industry,2111.3,5.01,Medium to high,497.00,10.0,10.0,,8.0
2020-06-30,Equipsuper MySuper,Generic,equipsuper,33813823017,Industry,6102.1,5.35,Medium to high,482.00,7.0,7.0,,13.0
2020-06-30,Essential Super,Generic,Essential Super,56601925435,Retail,2937.1,,,,,,,
2020-06-30,First Super MySuper,Generic,First Super,56286625181,Industry,2641.2,3.50,Medium,818.00,10.0,10.0,,2.0
2020-06-30,Goldman Sachs & JBWere Superannuation Fund_MySuper Product,Generic,Goldman Sachs & JBWere Superannuation Fund,55697537183,Corporate,443.4,4.00,Very high,745.00,,,,7.0
2020-06-30,Guild Retirement Fund (MySuper),Generic,Guild Retirement Fund,22599554834,Retail,1392.3,,,,,,,
2020-06-30,HESTA MySuper,Generic,HESTA,64971749321,Industry,41204.0,3.79,Medium to high,515.00,9.5,12.0,,8.5
2020-06-30,Balanced option,Generic,HOSTPLUS Superannuation Fund,68657495890,Industry,34526.3,3.00,Medium to high,533.00,13.0,12.0,,5.0
2020-06-30,MySuper,Generic,IAG & NRMA Superannuation Plan,58244115920,Corporate,1450.7,2.66,High,660.00,7.0,3.0,,20.0
2020-06-30,Active Balanced,Generic,Incitec Pivot Employees Superannuation Fund,68569795856,Retail,52.5,2.60,High,566.00,13.0,3.4,,2.4
2020-06-30,Intrust MySuper,Generic,Intrust Super Fund,65704511371,Industry,1813.3,4.69,Medium to high,633.00,10.0,5.0,,13.0
2020-06-30,IOOF MySuper,Generic,IOOF Portfolio Service Superannuation Fund,70815369818,Retail,3185.7,3.00,Medium to high,632.00,10.0,2.7,,3.6
2020-06-30,MySuper Balanced,Generic,Labour Union Co-Operative Retirement Fund,26382680883,Industry,5069.7,2.90,Medium to high,489.81,10.0,8.0,,6.9
2020-06-30,MySuper Balanced,Generic,legalsuper,60346078879,Industry,2048.7,3.00,Medium to high,622.60,12.0,9.8,,
2020-06-30,LGIASuper MySuper Lifecycle,Generic,LGIAsuper,23053121564,Public Sector,7505.0,,,,,,,
2020-06-30,Vision MySuper,Generic,Local Authorities Superannuation Fund,24496637884,Public Sector,4435.0,3.00,High,488.00,11.0,11.0,,0.0
2020-06-30,Active Super Lifestage Product,Generic,Local Government Super,28901371321,Public Sector,4107.7,,,,,,,
2020-06-30,Balanced Option_MySuper Compliant,Generic,Lutheran Super,93371348387,Corporate,285.7,3.00,Medium to high,526.00,10.0,10.0,,5.0
2020-06-30,MYSUPER INVESTMENT OPTION,Generic,Maritime Super,77455663441,Industry,911.1,,,,,,,
2020-06-30,Max Super Fund MySuper Plan,Generic,Max Super Fund,22508720840,Retail,22.4,4.00,High,564.00,12.0,,,
